t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,w_x,w_y,w_z,u_1,u_2,u_3,u_4
0,-5.0,4.5,1.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.55940876747224,5.181001287896462,5.790215289966061,6.878999456286968
0.040531912499684034,-5.0,4.5,1.2,0.0,0.0,0.7663452049774522,1.0,4.749157588768751e-31,-3.1302047944560615e-29,1.9359556449983115e-29,14.99999938671538,5.6469345690329025,0.09184030842147736,6.878989909389591,6.878999376854092,6.607166900510574,6.609595480411201
0.08106382499936807,-5.0,4.5,1.2310614367926984,-5.3810466639151944e-30,1.0645348220830308e-29,1.6550074660311482,0.9510836995415834,0.2891192978518859,0.10884252162438605,0.0017701871047297593,14.999992719892617,2.3954761972088257,0.09106719723977302,6.024982654560328,6.878999762247172,6.878999570265895,5.60659919657085
0.1215957374990521,-5.0,4.5,1.298142054592197,0.251896945015927,-0.6653575857238305,2.236992674791191,0.819934241505422,0.5527540470278369,0.14815742232792395,-0.014838507688895651,2.065638219984989,-0.1094504048522122,0.22373762268568284,6.713320687439372,6.878999808614064,6.8789996914352445,6.7835174489545755
0.16212764999873613,-4.989790135065677,4.473031784554441,1.3888116459492679,0.5463354804294357,-1.8491191945719183,2.28778115088029,0.7964829635742223,0.5871953534915778,0.1430840723497404,-0.018532506947381105,0.4785275757390189,0.33044282006381165,0.20147800926909704,6.768111474858102,6.878999769285954,6.878999648292793,6.878994416991703
0.20265956249842015,-4.967646113177438,4.398083447158566,1.4815397913751742,0.815750458374903,-3.0784086140364524,2.2422900887081996,0.7898444893623917,0.5955815170217731,0.14582924047207105,-0.012734670363124711,-0.19757037061143415,1.0073221968399086,0.16631670059599907,6.841263411233175,6.878999672148643,6.878999587361264,6.87899850494307
0.24319147499810417,-4.934582186977011,4.273309658576166,1.572424097049604,1.0977193252074209,-4.31604003821583,2.169667151836539,0.7891198641334061,0.5930388335189074,0.15996142350029766,0.0026692621411109913,-0.43175872101288315,1.2358107149794453,0.1543507770224393,6.825162720097829,6.8789994627243685,6.878999506806913,6.878999200426618
0.2837233874977882,-4.8900895233384905,4.098372301402069,1.6603648562012814,1.4324638857930712,-5.540578852517705,2.093451117406029,0.7900125669744706,0.5863583771011991,0.17778299862644537,0.021382306354947967,-0.764488481585858,1.5612345117459925,0.13727910259954088,6.790000843038012,6.878998949410905,6.87899939753781,6.878999422637705
0.3242552999974722,-4.832029022460569,3.873802044154222,1.7452164337143485,1.8326345338118213,-6.742303387622174,2.0216881574663166,0.7929175775162262,0.5735786677399659,0.20069106587106952,0.044858926190819416,-1.3116587458967084,2.0993520038900164,0.10905756286388074,6.721054994648601,6.878997202614781,6.878999243555627,6.8789994914611095
0.36478721249715623,-4.7577488398922085,3.600523593200797,1.8271593212144208,2.3149598086245526,-7.905441435902406,1.965161363495401,0.7985206943465877,0.5503429016855251,0.23167399282177964,0.07625321183157491,-2.2784080546819854,3.0555747328124534,0.058973597947237694,6.52678090179686,6.878981095092988,6.878999016453673,6.8789994714995535
0.40531912499684025,-4.663919091488753,3.2801009326494235,1.9068110696473763,2.9029241676230013,-8.998135982372942,1.9391625173537943,0.80709013880267,0.5075146941751029,0.27612030461214515,0.12162203922298305,-4.424820046045527,5.193285252643892,-0.052710146729450874,6.399006808805432,6.806598454534216,6.878998666620772,6.878999349672347
0.44585103749652427,-4.546258023133439,2.9153892723516255,1.9854090351234275,3.634718199216223,-9.96509048005408,1.9688923889882357,0.8159068575117695,0.41806736960038327,0.34739467892991516,0.1970599182784034,-6.89511962053198,8.55833282510951,-0.18195873782085323,6.878985312746369,6.878993502089509,6.878997821084995,6.8789990178173674
0.4863829499962083,-4.398935943121798,2.511485096962639,2.0652120091551924,4.594710340939429,-10.680562998210869,2.1080145472762775,0.795306046265221,0.262170012119555,0.4518382187820174,0.30756690583862456,-6.850978928309454,8.594039117310695,-0.18196171416989163,6.878996323771176,6.878997900871542,6.878991625013341,6.878997927090116
0.5269148624958924,-4.212703545621449,2.0785814520717936,2.1506538703334557,5.749307741059205,-10.86303495362008,2.3063711039543495,0.7361020799354492,0.0942052334583689,0.5354916252100235,0.4031473939314751,-6.8065819327984025,8.629380117009145,-0.18196421267752438,6.8789975588798855,6.8789988318231785,6.376371811392651,6.878991884988588
0.5674467749955764,-3.9796731073270806,1.6382818698506552,2.2441355021107334,6.862644145745367,-10.485519085574458,2.4352703082531795,0.6412176814473525,-0.07790270517250396,0.5943897114607846,0.479032279116678,-3.7062154108497665,5.608621141945101,-0.3413467532838426,6.878998284776165,6.878999155962186,6.522921471912165,6.806486889817604
0.6079786874952604,-3.7015170152952606,1.2132837277603843,2.3428416651579296,7.750823670561243,-9.620927279315309,2.4009476101845677,0.5658785498255788,-0.18293091938214823,0.6249659432833307,0.5057027934640719,-1.9278849954126644,3.0387848608338492,-0.4312663635369549,6.878998833882832,6.8789993264834814,6.73895045041496,6.794581403098184
0.6485105999949444,-3.3873613084795924,0.823329145109353,2.440156663610256,8.430527425085172,-8.528898802277343,2.2010200640722912,0.5232536879370362,-0.2409961301017744,0.6367426433201092,0.512528291427993,-1.5524809753537008,1.6976672235280648,-0.44890724000985466,6.87899915799449,6.878999458499456,6.796666071300073,6.86965773047232
